plataforma,fecha,campaña,impresiones,clics,costo
Google Ads,2022-08-31,CAMPAIGN955169,387,30,4.012
Google Ads,2022-09-01,CAMPAIGN955169,8,0,0.0
Google Ads,2022-09-02,CAMPAIGN955169,7,1,0.244
Google Ads,2022-09-03,CAMPAIGN955169,1,0,0.0
Google Ads,2022-09-04,CAMPAIGN955064,1505,326,5.372
Google Ads,2022-09-05,CAMPAIGN955064,1081,222,4.402
Google Ads,2022-09-06,CAMPAIGN955196,245,39,3.28
Google Ads,2022-09-07,CAMPAIGN955196,194,39,2.516
Google Ads,2022-09-08,CAMPAIGN955196,42,6,0.40800000000000003
Google Ads,2022-09-09,CAMPAIGN955196,23,5,0.42400000000000004
Google Ads,2022-09-10,CAMPAIGN955014,2277,236,9.444
Google Ads,2022-09-11,CAMPAIGN955014,16,4,0.22599999999999998
Google Ads,2022-09-12,CAMPAIGN955014,4,1,0.022000000000000002
Google Ads,2022-09-13,CAMPAIGN955226,97,11,2.032
Google Ads,2022-09-14,CAMPAIGN955226,79,13,2.004
Google Ads,2022-09-15,CAMPAIGN955226,55,6,2.746
Google Ads,2022-09-16,CAMPAIGN955226,22,0,0.0
Google Ads,2022-09-17,CAMPAIGN955251,16,2,0.126
Google Ads,2022-09-18,CAMPAIGN955251,6,0,0.0
Google Ads,2022-09-19,CAMPAIGN955251,2,0,0.0
Google Ads,2022-09-20,CAMPAIGN955251,1,0,0.0
Google Ads,2022-09-21,CAMPAIGN955171,367,38,7.0120000000000005
Google Ads,2022-09-22,CAMPAIGN955171,133,15,2.7100000000000004
Google Ads,2022-09-23,CAMPAIGN955171,103,6,0.984
Google Ads,2022-09-24,CAMPAIGN955171,23,6,0.662
Google Ads,2022-09-25,CAMPAIGN955171,11,0,0.0
Google Ads,2022-09-26,CAMPAIGN955120,895,143,8.064
Google Ads,2022-09-27,CAMPAIGN955120,13,2,0.096
Google Ads,2022-09-28,CAMPAIGN955161,476,65,5.2700000000000005
Google Ads,2022-09-29,CAMPAIGN955161,269,40,3.708
Google Ads,2022-09-30,CAMPAIGN955161,2,0,0.0
Google Ads,2022-10-01,CAMPAIGN955100,1126,238,7.5760000000000005
Google Ads,2022-10-02,CAMPAIGN955100,34,2,0.10800000000000001
Google Ads,2022-10-03,CAMPAIGN955100,4,0,0.0
Google Ads,2022-10-04,CAMPAIGN955079,1367,99,7.93
Google Ads,2022-10-05,CAMPAIGN955079,10,0,0.0
Google Ads,2022-10-06,CAMPAIGN955079,8,0,0.0
Google Ads,2022-10-07,CAMPAIGN955079,2,1,0.07600000000000001
Google Ads,2022-10-08,CAMPAIGN955141,686,127,6.974
Google Ads,2022-10-09,CAMPAIGN955141,198,48,2.9659999999999997
Google Ads,2022-10-10,CAMPAIGN955164,452,56,9.426
Google Ads,2022-10-11,CAMPAIGN955164,267,41,9.302
Google Ads,2022-10-12,CAMPAIGN955164,104,16,3.8420000000000005
Google Ads,2022-10-13,CAMPAIGN955164,51,9,4.184
Google Ads,2022-10-14,CAMPAIGN954701,79567,11105,2991.9040000000005
Google Ads,2022-10-15,CAMPAIGN954701,19960,3110,701.36
Google Ads,2022-10-16,CAMPAIGN954720,38225,4609,1358.99
Google Ads,2022-10-17,CAMPAIGN954720,32597,6261,873.3520000000001
Google Ads,2022-10-18,CAMPAIGN954720,14361,1914,462.1860000000001
Google Ads,2022-10-19,CAMPAIGN954730,28368,5109,285.0040000000001
Google Ads,2022-10-20,CAMPAIGN954730,16966,3566,162.472
Google Ads,2022-10-21,CAMPAIGN954730,13059,1902,106.772
Google Ads,2022-10-22,CAMPAIGN954730,12446,2901,127.44600000000001
Google Ads,2022-10-23,CAMPAIGN954723,34676,6116,403.51
Google Ads,2022-10-24,CAMPAIGN954723,16089,2934,239.57799999999997
Google Ads,2022-10-25,CAMPAIGN954723,11369,2346,147.672
Google Ads,2022-10-26,CAMPAIGN954906,4463,588,56.328
Google Ads,2022-10-27,CAMPAIGN954703,76132,19913,1358.642
Google Ads,2022-10-28,CAMPAIGN954703,6463,1669,213.22000000000003
Google Ads,2022-10-29,CAMPAIGN954703,4432,1250,110.786
Google Ads,2022-10-30,CAMPAIGN954715,41976,8810,803.5040000000001
Google Ads,2022-10-31,CAMPAIGN954715,3828,672,88.666
Google Ads,2022-11-01,CAMPAIGN954715,2838,705,75.404
Google Ads,2022-11-02,CAMPAIGN955063,1519,72,19.966
Google Ads,2022-11-03,CAMPAIGN955237,64,9,1.2240000000000002
Google Ads,2022-11-04,CAMPAIGN955237,60,11,1.4460000000000002
Google Ads,2022-11-05,CAMPAIGN954726,32867,7459,179.788
Google Ads,2022-11-06,CAMPAIGN954735,26675,10724,258.238
Google Ads,2022-11-07,CAMPAIGN954726,16596,3529,69.144
Google Ads,2022-11-08,CAMPAIGN954735,10092,2709,88.146
Google Ads,2022-11-09,CAMPAIGN954735,3316,864,13.722000000000001
Google Ads,2022-11-10,CAMPAIGN954735,1051,299,3.976
Google Ads,2022-11-11,CAMPAIGN954726,941,168,4.398
Google Ads,2022-11-12,CAMPAIGN955043,1790,106,25.764
Google Ads,2022-11-13,CAMPAIGN955043,341,48,6.792000000000001
Google Ads,2022-11-14,CAMPAIGN955043,146,19,3.7959999999999994
Google Ads,2022-11-15,CAMPAIGN955235,66,3,0.6000000000000001
Google Ads,2022-11-16,CAMPAIGN954702,78313,17679,631.4720000000001
Google Ads,2022-11-17,CAMPAIGN954702,56990,14310,969.6460000000002
Google Ads,2022-11-18,CAMPAIGN954864,6417,2111,83.71800000000002
Google Ads,2022-11-19,CAMPAIGN954702,5776,1343,75.61
Google Ads,2022-11-20,CAMPAIGN954864,3181,1182,29.744
Google Ads,2022-11-21,CAMPAIGN955097,1177,224,6.642
Google Ads,2022-11-22,CAMPAIGN955097,83,34,0.8420000000000001
Google Ads,2022-11-23,CAMPAIGN955259,9,1,0.13799999999999998
Google Ads,2022-11-24,CAMPAIGN955259,7,1,0.020000000000000004
Google Ads,2022-11-25,CAMPAIGN954752,20239,3938,84.30000000000001
Google Ads,2022-11-26,CAMPAIGN954784,13663,4169,152.204
Google Ads,2022-11-27,CAMPAIGN954752,2113,387,7.766
Google Ads,2022-11-28,CAMPAIGN954752,1308,467,9.762
Google Ads,2022-11-29,CAMPAIGN954784,1175,264,16.28
Google Ads,2022-11-30,CAMPAIGN954752,1044,198,4.1659999999999995
Google Ads,2022-12-01,CAMPAIGN955270,5,0,0.0
Google Ads,2022-12-02,CAMPAIGN955270,1,0,0.0
Google Ads,2022-12-03,CAMPAIGN954968,3045,145,49.940000000000005
Google Ads,2022-12-04,CAMPAIGN954968,3001,141,71.542
Google Ads,2022-12-05,CAMPAIGN955151,607,23,7.870000000000001
Google Ads,2022-12-06,CAMPAIGN954840,8136,2566,36.760000000000005
Google Ads,2022-12-07,CAMPAIGN954840,6625,2988,30.695999999999998
Google Ads,2022-12-08,CAMPAIGN954840,3295,607,16.471999999999998
Google Ads,2022-12-09,CAMPAIGN955113,974,167,4.486
Google Ads,2022-12-10,CAMPAIGN954758,18527,6443,56.096000000000004
Google Ads,2022-12-11,CAMPAIGN954758,14148,6797,44.550000000000004
Google Ads,2022-12-12,CAMPAIGN954758,2371,482,6.144
Google Ads,2022-12-13,CAMPAIGN955136,749,67,0.806
Google Ads,2022-12-14,CAMPAIGN955253,14,5,0.07600000000000001
Google Ads,2022-12-15,CAMPAIGN954798,11866,1625,137.548
Google Ads,2022-12-16,CAMPAIGN954831,9092,1370,53.252
Google Ads,2022-12-17,CAMPAIGN954831,7435,2193,75.052
Google Ads,2022-12-18,CAMPAIGN954831,3145,861,27.764
Google Ads,2022-12-19,CAMPAIGN954831,50,9,0.22400000000000003
Google Ads,2022-12-20,CAMPAIGN954837,8241,1230,51.726
Google Ads,2022-12-21,CAMPAIGN954837,6361,1040,59.26800000000001
Google Ads,2022-12-22,CAMPAIGN954837,4065,995,49.04
Google Ads,2022-12-23,CAMPAIGN954837,1685,424,17.651999999999997
Google Ads,2022-12-24,CAMPAIGN955267,5,0,0.0
Google Ads,2022-12-25,CAMPAIGN954749,20529,3766,117.81600000000002
Google Ads,2022-12-26,CAMPAIGN954749,9105,1451,60.733999999999995
Google Ads,2022-12-27,CAMPAIGN954749,8336,1817,70.29
Google Ads,2022-12-28,CAMPAIGN954749,2780,692,20.656
Google Ads,2022-12-29,CAMPAIGN954749,1679,300,9.372
Google Ads,2022-12-30,CAMPAIGN955245,32,3,0.07600000000000001
Google Ads,2022-12-31,CAMPAIGN954770,16437,4640,177.77
Google Ads,2022-01-01,CAMPAIGN954880,5693,2288,132.862
Google Ads,2022-01-02,CAMPAIGN954770,381,94,5.8
Google Ads,2022-01-03,CAMPAIGN954910,4356,1128,81.012
Google Ads,2022-01-04,CAMPAIGN954910,2699,896,57.98
Google Ads,2022-01-05,CAMPAIGN954910,388,140,9.366
Google Ads,2022-01-06,CAMPAIGN955225,101,21,1.3760000000000003
Google Ads,2022-01-07,CAMPAIGN954854,6882,1062,36.754000000000005
Google Ads,2022-01-08,CAMPAIGN954854,3163,690,21.772000000000002
Google Ads,2022-01-09,CAMPAIGN954854,233,32,1.6580000000000004
Google Ads,2022-01-10,CAMPAIGN954854,180,26,1.056
Google Ads,2022-01-11,CAMPAIGN954854,99,21,0.954
Google Ads,2022-01-12,CAMPAIGN954854,86,14,0.592
Google Ads,2022-01-13,CAMPAIGN954854,80,12,0.63
Google Ads,2022-01-14,CAMPAIGN954854,48,7,0.256
Google Ads,2022-01-15,CAMPAIGN954854,42,13,0.5599999999999999
Google Ads,2022-01-16,CAMPAIGN954854,27,10,0.11000000000000001
Google Ads,2022-01-17,CAMPAIGN954854,19,5,0.19000000000000003
Google Ads,2022-01-18,CAMPAIGN954699,91048,19362,89.69600000000001
Google Ads,2022-01-19,CAMPAIGN954699,43947,10531,44.358000000000004
Google Ads,2022-01-20,CAMPAIGN954699,20546,4546,20.36
Google Ads,2022-01-21,CAMPAIGN954699,17194,2674,15.940000000000001
Google Ads,2022-01-22,CAMPAIGN954699,9231,1978,9.16
Google Ads,2022-01-23,CAMPAIGN954863,6452,2581,109.46200000000002
Google Ads,2022-01-24,CAMPAIGN954863,2839,846,44.554
Google Ads,2022-01-25,CAMPAIGN954863,803,301,13.55
Google Ads,2022-01-26,CAMPAIGN954931,3759,463,8.468000000000002
Google Ads,2022-01-27,CAMPAIGN954931,495,111,2.244
Google Ads,2022-01-28,CAMPAIGN954931,161,26,0.576
Google Ads,2022-01-29,CAMPAIGN955077,1379,294,17.177999999999997
Google Ads,2022-01-30,CAMPAIGN955077,1227,268,19.162
Google Ads,2022-01-31,CAMPAIGN955077,381,75,3.1880000000000006
Google Ads,2022-02-01,CAMPAIGN955077,262,66,2.108
Google Ads,2022-02-02,CAMPAIGN955077,186,35,1.83
Google Ads,2022-02-03,CAMPAIGN955077,123,24,1.968
Google Ads,2022-02-04,CAMPAIGN955077,102,8,0.18600000000000003
Google Ads,2022-02-05,CAMPAIGN955077,92,29,2.12
Google Ads,2022-02-06,CAMPAIGN955077,17,1,0.052000000000000005
